confirmed,deaths,city_ibge_code
4,1,3523008
721,88,3523107
4,0,3523206
57,2,3523305
101,3,3523404
22,1,3523503
12,0,3523602
2,0,3523701
2,0,3523800
200,19,3523909
75,5,3524006
6,0,3524105
14,1,3524204
43,5,3524303
265,12,3524402
79,2,3524501
13,1,3524600
73,3,3524709
42,0,3524808
7,1,3524907
282,16,3525003
40,3,3525102
48,7,3525201
230,6,3525300
4,0,3525508
3,0,3525607
18,1,3525706
1,0,3525805
1415,78,3525904
26,1,3526001
12,0,3526100
47,4,3526209
29,2,3526407
1,0,3526506
7,1,3526605
35,5,3526704
318,9,3526803
213,11,3526902
3,0,3527009
35,6,3527108
56,3,3527207
81,3,3527306
32,5,3527405
6,0,3527603
1,0,3527900
50,1,3528007
6,0,3528106
0,0,3528205
14,0,3528304
49,3,3528403
143,17,3528502
6,0,3528601
1,0,3528858
1,0,3528908
83,1,3529005
7,1,3529203
26,0,3529302
1221,90,3529401
5,1,3529500
1,0,3529609
6,0,3529708
15,1,3529807
47,4,3529906
37,4,3530102
2,0,3530201
36,1,3530300
51,3,3530508
1182,106,3530607
148,4,3530706
24,1,3530805
2,1,3531001
79,4,3531100
2,0,3531209
43,1,3531308
10,1,3531407
8,0,3531506
2,0,3531704
62,2,3531803
52,0,3531902
19,0,3532009
6,0,3532058
3,0,3532108
1,1,3532306
27,2,3532405
5,0,3532504
7,0,3532603
1,0,3532702
0,0,3532801
1,0,3532827
28,0,3532900
9,1,3533007
5,0,3533106
1,0,3533254
1,0,3533304
46,2,3533403
17,0,3533502
2,0,3533601
67,3,3533908
3,0,3534005
1,0,3534104
25,3,3534302
3207,347,3534401
3,0,3534609
109,4,3534708
3,0,3534757
22,1,3534906
1,0,3535002
5,2,3535101
6,0,3535200
10,0,3535309
7,1,3535408
5,1,3535507
17,0,3535606
4,0,3535705
11,1,3535804
1,0,3535903
2,0,3536000
21,0,3536109
107,2,3536208
0,0,3536257
6,0,3536307
237,2,3536505
2,0,3536570
1,0,3536604
66,2,3536703
5,0,3536802
8,0,3537107
4,1,3537156
4,0,3537206
16,3,3537305
15,3,3537404
2,0,3537503
81,9,3537602
96,5,3537800
21,2,3537909
53,5,3538006
14,0,3538105
2,0,3538204
4,0,3538303
3,0,3538501
21,1,3538600
706,36,3538709
49,3,3538808
10,1,3538907
3,1,3539004
76,0,3539103
15,2,3539202
135,1,3539301
41,2,3539400
6,1,3539509
11,0,3539608
283,34,3539806
1,1,3539905
2,1,3540002
16,3,3540200
5,1,3540259
0,0,3540309
4,0,3540408
5,0,3540507
66,3,3540606
22,1,3540705
3,0,3540754
10,1,3540804
3,0,3540853
3,1,3540903
1071,63,3541000
10,0,3541059
3,0,3541109
8,0,3541208
9,1,3541307
173,11,3541406
42,8,3541505
7,0,3541604
3,0,3541653
20,2,3541703
2,0,3541802
4,0,3542008
3,0,3542107
5,1,3542206
1,0,3542305
11,0,3542404
2,0,3542503
187,5,3542602
3,0,3542909
19,0,3543006
1,0,3543238
2,0,3543204
5,0,3543253
247,18,3543303
1275,33,3543402
10,1,3543709
4,0,3543808
63,16,3543907
19,0,3544004
95,8,3544103
0,0,3544202
15,0,3544251
8,1,3544301
1,0,3544400
2,0,3544707
1,0,3544806
5,0,3544905
21,2,3545001
10,1,3545159
61,1,3545209
53,2,3545308
2,0,3545407
3,0,3545605
76,5,3545803
18,1,3546009
0,0,3546108
5,0,3546207
3,0,3546256
9,0,3546306
71,1,3546405
24,0,3546603
16,1,3546702
186,21,3546801
6,0,3546900
15,0,3547007
2,0,3547205
577,19,3547304
12,1,3547502
2,0,3547601
13,0,3547650
7,1,3547700
2917,160,3547809
1,1,3547908
18,0,3548005
6,0,3548054
13,1,3548104
8,2,3548203
4,0,3548302
1,0,3548401
4315,172,3548500
1,0,3548609
3285,232,3548708
847,46,3548807
187,5,3548906
1,0,3549003
61,5,3549102
9,1,3549201
1,0,3549300
26,0,3549409
1,0,3549508
24,3,3549706
827,23,3549805
1110,45,3549904
30,2,3549953
1,1,3550001
48,2,3550100
46,3,3550209
71453,4805,3550308
63,1,3550407
2,0,3550506
72,5,3550605
324,3,3550704
8,1,3550803
5,0,3550902
1263,91,3551009
5,0,3551108
1,0,3551207
2,0,3551405
38,5,3551504
16,0,3551603
60,4,3551702
6,0,3551801
17,0,3551900
0,0,3552007
15,3,3552106
1203,56,3552205
5,0,3552304
259,10,3552403
830,67,3552502
24,1,3552601
16,0,3552700
987,73,3552809
6,0,3553005
10,0,3553104
2,0,3553203
18,0,3553302
15,0,3553401
20,0,3553500
1,0,3553609
1,0,3553658
12,0,3553708
7,0,3553807
5,0,3553856
7,1,3553906
3,0,3553955
173,8,3554003
150,5,3554102
2,0,3554201
8,0,3554300
8,0,3554409
18,0,3554508
2,0,3554607
5,2,3554656
20,0,3554706
1,0,3554755
10,0,3554805
4,0,3554904
5,0,3554953
21,1,3555000
40,0,3555109
1,0,3555307
65,2,3555406
13,1,3555505
13,1,3555604
1,0,3555703
17,0,3555802
3,1,3555901
3,0,3556008
11,0,3556107
195,6,3556206
25,0,3556305
6,1,3556354
26,0,3556404
88,7,3556453
177,12,3556503
111,2,3556701
6,2,3556800
13,1,3556909
187,9,3557006
82,5,3557105
2,0,3557154
1,0,2700102
49,1,2700201
500,18,2700300
209,5,2700409
24,2,2700508
40,1,2700607
38,1,2700706
2,1,2700805
2,0,2700904
82,2,2701001
11,0,2701100
18,1,2701209
34,1,2701308
21,2,2701357
29,1,2701407
14,1,2701506
3,1,2701605
117,1,2701704
14,0,2701803
7,0,2701902
8,0,2702009
38,2,2702108
49,1,2702207
220,8,2702306
88,1,2702355
32,2,2702405
13,0,2702504
8,0,2702553
26,0,2702603
7,1,2702702
36,1,2702801
55,0,2702900
7,3,2703007
17,0,2703106
4,1,2703205
54,4,
3,0,2703304
2,0,2703403
17,0,2703502
33,1,2703601
1,0,2703700
120,3,2703759
33,5,2703809
2,1,2703908
140,1,2704005
11,2,2704104
11,1,2704203
7112,335,2704302
26,1,2704401
149,6,2704500
9,0,2704609
399,13,2704708
36,1,2704807
4,0,2704906
0,0,2705002
80,2,2705101
43,3,2705200
3,0,2705309
12,0,2705408
105,4,2705507
5,1,2705606
55,1,2705705
5,0,2705804
8,0,2705903
9,0,2706000
19,0,2706109
3,0,2706208
176,3,2706307
42,1,2706406
3,0,2706422
34,4,2706448
51,2,2706505
48,2,2706604
47,2,2706703
33,4,2706802
170,5,2706901
10,0,2707008
9,1,2707107
4,1,2707206
185,2,2707305
26,0,2707404
11,0,2707503
34,0,2707602
227,19,2707701
14,0,2707800
67,2,2707909
87,3,2708006
12,1,2708105
19,0,2708204
162,1,2708303
36,1,2708402
58,2,2708501
278,5,2708600
25,1,2708709
205,1,2708808
157,6,2708907
11,0,2708956
15,1,2709004
13,0,2709103
275,2,2709152
9,0,2709202
181,14,2709301
30,1,2709400
367,10,1300029
326,8,1300060
197,0,1300086
403,5,1300102
27,0,1300144
89,1,1300201
633,22,1300300
534,17,1300409
343,4,1300508
1020,25,1300607
374,5,1300631
78,2,1300680
456,6,1300706
275,14,1300805
104,2,1300839
36,0,1300904
264,2,1301001
734,13,1301100
52,1,1301159
2066,59,1301209
61,2,1301308
177,0,1301407
0,0,1301506
293,10,1301605
51,1,1301654
123,2,1301704
0,0,1301803
739,26,1301852
879,45,1301902
4,0,1301951
372,4,1302009
122,0,1302108
44,0,1302207
146,10,1302306
70,0,1302405
2591,101,1302504
140,6,1302553
19962,1417,1302603
62,2,1302702
109,1,1302801
705,29,1302900
59,2,1303007
123,9,1303106
165,5,1303205
205,7,1303304
1490,58,1303403
60,0,1303502
501,16,1303536
553,11,1303569
43,1,1303601
759,16,1303700
2232,26,1303809
468,11,1303908
119,1,1303957
135,4,1304005
1072,60,1304062
439,3,1304104
2106,60,1304203
292,12,1304237
208,0,1304260
241,2,1304302
175,2,1304401
119,3,1600105
142,1,1600204
159,2,1600212
123,2,1600238
0,0,
77,0,1600253
1761,35,1600279
5465,155,1600303
349,3,1600402
529,6,1600501
840,3,1600154
218,4,1600535
18,1,1600550
1191,29,1600600
243,2,1600055
134,1,1600709
